entrez	target gene	target probe	source probe	Score
66865	Pmpca	1424662_at	1418127_a_at	0.605765
15201	Hells	1417541_at	1418127_a_at	0.605631
12567	Cdk4	1422439_a_at	1418127_a_at	0.605603
269378	Ahcy	1417125_at	1418127_a_at	0.605481
17215	Mcm3	1420028_s_at	1418127_a_at	0.605439
66143	Eef1e1	1449044_at	1418127_a_at	0.604998
107508	Eprs	1452157_at	1418127_a_at	0.604707
66902	Mtap	1451346_at	1418127_a_at	0.604388
19656	Rbmxl1	1416177_at	1418127_a_at	0.604313
69270	Gins1	1452598_at	1418127_a_at	0.604054
105837	Mtbp	1448638_at	1418127_a_at	0.603955
209354	Eif2b1	1460730_at	1418127_a_at	0.603932
226432	Ipo9	1439481_at	1418127_a_at	0.603918
14057	Sfxn1	1417560_at	1418127_a_at	0.603655
56449	Ybx3	1435800_a_at	1418127_a_at	0.603535
21854	Timm17a	1426256_at	1418127_a_at	0.603496
433064	Gm17748	1424136_a_at	1418127_a_at	0.603236
66101	Ppih	1424136_a_at	1418127_a_at	0.603236
72107	Dscc1	1452912_at	1418127_a_at	0.603137
238673	Zfp367	1433623_at	1418127_a_at	0.603046
108147	Atic	1428506_at	1418127_a_at	0.602320
70472	Atad2	1436174_at	1418127_a_at	0.602157
56749	Dhodh	1417582_s_at	1418127_a_at	0.602091
74252	Armc1	1451638_s_at	1418127_a_at	0.601865
26443	Psma6	1437144_x_at	1418127_a_at	0.601537
15384	Hnrnpab	1448144_at	1418127_a_at	0.601286
53382	Txnl1	1436947_a_at	1418127_a_at	0.601047
72658	2700097O09Rik	1428810_at	1418127_a_at	0.601028
69071	Tmem97	1416376_at	1418127_a_at	0.600678
66585	Snrnp40	1428264_at	1418127_a_at	0.600489
98238	Lrrc59	1416234_at	1418127_a_at	0.600424
68092	Ncbp2	1450847_at	1418127_a_at	0.600413
319944	Taf2	1434238_at	1418127_a_at	0.599360
50911	Exosc9	1418462_at	1418127_a_at	0.599356
236539	Phgdh	1437621_x_at	1418127_a_at	0.599080
71919	Rpap3	1448555_at	1418127_a_at	0.598889
227197	Ndufs1	1425143_a_at	1418127_a_at	0.598621
57312	Mrps31	1417737_at	1418127_a_at	0.598593
108837	Ibtk	1454905_at	1418127_a_at	0.598460
19687	Rfc1	1418342_at	1418127_a_at	0.597913
20017	Polr1b	1416126_at	1418127_a_at	0.597852
229363	Gmps	1433567_at	1418127_a_at	0.597483
53605	Nap1l1	1420477_at	1418127_a_at	0.597137
66488	Fam136a	1417075_at	1418127_a_at	0.596950
60530	Fignl1	1422430_at	1418127_a_at	0.596906
213539	Bag2	1423948_at	1418127_a_at	0.596793
26909	Exo1	1418026_at	1418127_a_at	0.596436
107272	Psat1	1454607_s_at	1418127_a_at	0.596435
226830	Smyd2	1424760_a_at	1418127_a_at	0.595938
11938	Atp2a2	1427250_at	1418127_a_at	0.595744
70478	Mipep	1428290_at	1418127_a_at	0.595740
12144	Blm	1448953_at	1418127_a_at	0.595661
76522	Lsm8	1448703_at	1418127_a_at	0.595613
78304	Naa38	1448703_at	1418127_a_at	0.595613
18701	Pigf	1448896_at	1418127_a_at	0.595439
108888	Atad3a	1456541_x_at	1418127_a_at	0.595431
28042	Ept1	1431802_a_at	1418127_a_at	0.595331
67205	Utp11l	1429485_a_at	1418127_a_at	0.595123
54351	Elp5	1431411_a_at	1418127_a_at	0.595095
109093	Rars2	1424209_at	1418127_a_at	0.594821
11792	Apex1	1456079_x_at	1418127_a_at	0.594415
15288	Hmbs	1426475_at	1418127_a_at	0.594255
434693	Gm5633	1423823_at	1418127_a_at	0.594137
668455	Gm9178	1423823_at	1418127_a_at	0.594137
69902	Mrto4	1423823_at	1418127_a_at	0.594137
67657	Rabl3	1418039_at	1418127_a_at	0.593395
17463	Psmd7	1451056_at	1418127_a_at	0.593290
66229	Rpl7l1	1426386_at	1418127_a_at	0.593235
68837	Foxk2	1428353_at	1418127_a_at	0.593210
319554	Idi1	1451122_at	1418127_a_at	0.592832
72170	Chchd4	1417233_at	1418127_a_at	0.592772
67276	Eri1	1418827_at	1418127_a_at	0.592552
19183	Psmc3ip	1442058_s_at	1418127_a_at	0.592192
228482	Arhgap11a	1438434_at	1418127_a_at	0.592025
100043462	Nutf2-ps1	1434367_s_at	1418127_a_at	0.591831
621832	Gm10349	1434367_s_at	1418127_a_at	0.591831
668830	Gm9386	1434367_s_at	1418127_a_at	0.591831
68051	Nutf2	1434367_s_at	1418127_a_at	0.591831
76843	Dtl	1434695_at	1418127_a_at	0.591346
76614	Immt	1433470_a_at	1418127_a_at	0.591311
22791	Dnajc2	1417657_s_at	1418127_a_at	0.591193
68001	1110004E09Rik	1424315_at	1418127_a_at	0.591042
67897	Rnmt	1453106_a_at	1418127_a_at	0.591010
20778	Scarb1	1437378_x_at	1418127_a_at	0.590901
76890	Memo1	1449821_a_at	1418127_a_at	0.590770
70769	Nolc1	1428869_at	1418127_a_at	0.590682
