entrez	target gene	target probe	source probe	Score
67236	Cinp	1425830_a_at	1418127_a_at	0.534091
14852	Gspt1	1455173_at	1418127_a_at	0.533452
107733	Mrpl41	1428588_a_at	1418127_a_at	0.533128
56428	Mtch2	1448654_at	1418127_a_at	0.532950
74335	Xrcc3	1437623_x_at	1418127_a_at	0.532630
68735	Mrps18c	1427901_at	1418127_a_at	0.532452
225363	Etf1	1451208_at	1418127_a_at	0.532395
19891	Rpa2	1416433_at	1418127_a_at	0.532312
207352	Sec23ip	1433627_at	1418127_a_at	0.532223
71844	Nupl1	1437843_s_at	1418127_a_at	0.532097
70699	Nup205	1454743_at	1418127_a_at	0.532073
17350	Mlh1	1417360_at	1418127_a_at	0.532031
21854	Timm17a	1426256_at	1418127_a_at	0.531987
21665	Tdg	1435715_x_at	1418127_a_at	0.531977
545124	Gm5806	1435715_x_at	1418127_a_at	0.531977
624784	Gm9855	1435715_x_at	1418127_a_at	0.531977
19183	Psmc3ip	1442058_s_at	1418127_a_at	0.531900
229725	Clcc1	1437511_x_at	1418127_a_at	0.531818
67384	Bag4	1449186_at	1418127_a_at	0.531575
67809	Rmdn3	1428196_a_at	1418127_a_at	0.531551
50496	E2f6	1448835_at	1418127_a_at	0.531491
230075	Ndufb6	1434056_a_at	1418127_a_at	0.530489
66423	Coprs	1420113_s_at	1418127_a_at	0.530066
53382	Txnl1	1435235_at	1418127_a_at	0.530030
109229	Fam118b	1432435_s_at	1418127_a_at	0.530009
21454	Tcp1	1448122_at	1418127_a_at	0.529711
67105	Timm21	1452785_at	1418127_a_at	0.529625
67628	Anp32b	1417082_at	1418127_a_at	0.529538
16211	Kpnb1	1451967_x_at	1418127_a_at	0.529423
66634	Mcm8	1429557_at	1418127_a_at	0.529008
76357	Trmt5	1452086_at	1418127_a_at	0.528863
99138	Stard7	1449628_s_at	1418127_a_at	0.528859
27878	Tada1	1424427_at	1418127_a_at	0.528613
232449	Dera	1424047_at	1418127_a_at	0.528593
59014	Rrs1	1456865_x_at	1418127_a_at	0.528484
18141	Nup50	1428328_at	1418127_a_at	0.528111
75316	Taf1d	1442289_at	1418127_a_at	0.527816
30058	Timm8a1	1416345_at	1418127_a_at	0.527640
13557	E2f3	1434564_at	1418127_a_at	0.527552
67459	Nvl	1453019_at	1418127_a_at	0.527462
70233	Cd2bp2	1417224_a_at	1418127_a_at	0.527317
52715	Ccdc43	1418543_s_at	1418127_a_at	0.527285
68133	Gcsh	1432164_a_at	1418127_a_at	0.527271
98415	Nucks1	1435753_a_at	1418127_a_at	0.526523
20425	Shmt1	1425178_s_at	1418127_a_at	0.526447
56309	Mycbp	1452608_at	1418127_a_at	0.526045
229905	Ccbl2	1455991_at	1418127_a_at	0.525889
69126	1810022K09Rik	1436523_s_at	1418127_a_at	0.525735
64658	Mrps25	1418716_at	1418127_a_at	0.525696
11532	Adh5	1416185_a_at	1418127_a_at	0.525660
77744	Bora	1433807_at	1418127_a_at	0.525648
68533	Mphosph6	1423848_at	1418127_a_at	0.525549
20955	Vamp7	1452007_at	1418127_a_at	0.525289
30926	Glrx3	1456244_x_at	1418127_a_at	0.525042
67838	Dnajb11	1423151_at	1418127_a_at	0.525030
12464	Cct4	1433447_x_at	1418127_a_at	0.525021
110959	Nudt19	1434216_a_at	1418127_a_at	0.525015
14609	Gja1	1415839_a_at	1418127_a_at	0.524797
18148	Npm1	1415839_a_at	1418127_a_at	0.524797
17692	Msl3	1448645_at	1418127_a_at	0.524757
22166	Txn1	1416119_at	1418127_a_at	0.524724
13361	Dhfr	1419172_at	1418127_a_at	0.524335
72787	Ndc1	1460353_at	1418127_a_at	0.524284
53323	Ube2k	1417186_at	1418127_a_at	0.524235
17279	Melk	1416558_at	1418127_a_at	0.523962
67144	Lrrc40	1448720_at	1418127_a_at	0.523953
19366	Rad54l	1423124_x_at	1418127_a_at	0.523660
19172	Psmb4	1438984_x_at	1418127_a_at	0.523119
100042807	Eif3j2	1426395_s_at	1418127_a_at	0.521649
78655	Eif3j1	1426395_s_at	1418127_a_at	0.521649
230908	Tardbp	1423723_s_at	1418127_a_at	0.521465
50927	Nasp	1416042_s_at	1418127_a_at	0.521363
66917	Chordc1	1460645_at	1418127_a_at	0.521258
52874	D19Bwg1357e	1434173_s_at	1418127_a_at	0.521224
