GeneSymbol,proB_CLP_BM,proB_FrA_BM,proB_FrBC_BM,preB_FrC_BM,preB_FrD_BM,B_FrE_BM,B_FrF_BM,B_Fo_Sp,preT_ETP_Th,preT_DN2_Th,preT_DN3A_Th,preT_DN3B_Th,T_DN4_Th,T_DP_Th,T_4SP24._Th,T_8SP24._Th,T_4Nve_Sp,T_8Nve_Sp
DND1,61.2617,62.3012,54.3075,54.8338,67.08,67.6058,64.2995,64.8594,61.5909,52.1765,58.5397,53.378,50.4621,65.8346,66.1856,61.5629,64.68,53.7536
HARS,299.271,238.678,297.602,469.942,283.884,251.192,223.165,264.257,289.651,340.273,256.225,446.633,361.087,173.047,352.571,387.36,242.647,209.136
GM10545,67.8562,81.5835,60.2504,67.871,81.0812,80.6742,89.1832,77.1921,83.3888,73.2699,83.1502,78.0326,80.3413,91.7071,90.0317,73.298,80.4191,109.861
GM10544,10.5989,12.0608,9.78677,10.9675,10.7092,13.3066,13.8153,11.3597,11.72,10.7857,12.8968,11.309,10.9293,17.0564,12.1244,10.2121,11.4185,13.2249
SLC25A2,39.4434,49.3823,36.475,42.9619,48.7083,52.2595,60.5927,62.1061,46.2023,42.6518,39.8813,37.9987,42.5252,59.7733,51.8735,48.6939,54.5038,45.2758
TAF7,87.6019,78.0568,119.865,166.104,137.785,113.044,113.898,153.934,147.069,129.943,90.6352,80.7948,105.574,84.9328,145.732,129.893,139.353,106.327
DIAP1,479.236,406.627,341.361,299.417,295.554,487.088,548.537,613.176,484.818,461.819,541.115,447.481,495.065,526.865,592.255,669.223,498.997,518.255
HDAC3,929.4,693.56,1073.5,1229.14,863.387,765.297,577.528,579.862,947.581,1337.6,1710.86,1578.96,1392.98,692.479,891.741,938.436,742.247,607.371
FCHSD1,98.5012,104.848,95.6967,83.0328,103.776,110.301,120.684,105.633,111.168,95.5565,143.003,102.135,111.462,96.441,129.895,115.238,136.501,111.095
ARAP3,145.839,145.438,83.6702,77.7475,79.792,79.7121,94.0421,68.0156,96.3354,88.1887,70.2274,72.366,99.495,104.417,89.2577,86.5113,69.4174,109.289
PCDH1,31.2375,38.143,32.4456,32.0452,30.6073,34.7995,33.504,30.0487,35.5767,27.6882,34.4945,33.7706,35.4581,47.0461,37.3868,31.706,35.0833,39.3682
1700086O06RIK,196.697,234.895,191.834,192.647,205.56,220.796,210.719,191.241,201.825,205.838,239.904,225.573,226.612,322.635,240.169,228.457,210.114,291.026
PCDH12,74.342,94.9506,72.0971,71.2427,90.7745,101.503,89.3518,76.9873,77.9408,75.3001,80.7926,88.0362,85.9255,112.491,83.6185,82.3876,80.9041,115.841
GNPDA1,160.114,160.073,195.43,199.982,176.91,259.139,178.021,199.595,179.443,214.106,240.413,207.598,209.376,184.177,371.661,297.417,249.978,210.721
SPRY4,53.2589,58.8865,57.9514,49.0762,58.4973,49.372,55.5568,45.2369,66.7738,48.3608,49.6665,48.8765,66.8867,74.7721,47.3731,54.4901,49.2593,64.5783
FGF1,32.7525,38.0748,34.6492,33.181,37.3677,38.3697,39.676,29.6969,33.2813,30.9576,38.4113,35.2205,36.6334,57.186,33.5921,32.3504,34.5289,46.9552
