"Genes","Curated_pathway","Database_ID","Database_pathway_name"
"BAK1","Protein synthesis","KEGG:04141","Protein processing in ER"
"CAPN1","Protein synthesis","KEGG:04141","Protein processing in ER"
"CAPN2","Protein synthesis","KEGG:04141","Protein processing in ER"
"CASP12","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBE2J1","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBE2J2","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBE2G1","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBE2G2","Protein synthesis","KEGG:04141","Protein processing in ER"
"SYVN1","Protein synthesis","KEGG:04141","Protein processing in ER"
"RNF5","Protein synthesis","KEGG:04141","Protein processing in ER"
"RNF185","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEL1L","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEL1L2","Protein synthesis","KEGG:04141","Protein processing in ER"
"HERPUD1","Protein synthesis","KEGG:04141","Protein processing in ER"
"AMFR","Protein synthesis","KEGG:04141","Protein processing in ER"
"STUB1","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBE2D1","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBE2D3","Protein synthesis","KEGG:04141","Protein processing in ER"
"PARK2","Protein synthesis","KEGG:04141","Protein processing in ER"
"RBX1","Protein synthesis","KEGG:04141","Protein processing in ER"
"CUL1","Protein synthesis","KEGG:04141","Protein processing in ER"
"SKP1A","Protein synthesis","KEGG:04141","Protein processing in ER"
"FBXO2","Protein synthesis","KEGG:04141","Protein processing in ER"
"FBXO6","Protein synthesis","KEGG:04141","Protein processing in ER"
"CDC16","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"KLHL13","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"PIAS3","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBA6","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2L6","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"BIRC3","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"HERC1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"XIAP","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
